id,playerName,age,position,marketValue,previousClub,newClub,price,season,date,cleanSheets,savesPercentage,goalieErrors,tacklesWon,interceptions,cleaners,goals,assists,chancesCreated,successRate
80,C. Nkunku,25,AM,€80.00m,RB Leipzig,Chelsea FC,€60.00m,23-24,summer,0,0,0,0,0,0,20,25,44,88.89
81,C. Palmer,21,AM,€18.00m,Man City,Chelsea FC,€47.00m,23-24,summer,0,0,0,0,0,0,21,23,47,89.78
82,A. Disasi,25,CB,€30.00m,Monaco,Chelsea FC,€45.00m,23-24,summer,0,0,0,5,4,6,0,0,0,83.33
83,N. Jackson,22,CF,€30.00m,Villarreal,Chelsea FC,€37.00m,23-24,summer,0,0,0,0,0,0,24,22,43,89.48
84,R. Sánchez,25,GK,€22.00m,Brighton,Chelsea FC,€28.70m,23-24,summer,22,99,3,0,0,0,0,0,0,68.78
85,L. Ugochukwu,19,DM,€9.00m,Stade Rennais,Chelsea FC,€27.00m,23-24,summer,0,0,0,3,4,4,0,0,0,61.11
86,D. Petrovic,23,GK,€6.00m,New England,Chelsea FC,€18.00m,23-24,summer,4,40,13,0,0,0,0,0,0,34.22
87,Deivid Washington,18,CF,€4.00m,Santos,Chelsea FC,€16.00m,23-24,summer,0,0,0,0,0,0,9,5,15,26.07
88,Ângelo,18,RW,€13.00m,Santos,Chelsea FC,€15.00m,23-24,summer,0,0,0,0,0,0,20,20,40,79.26
89,D. Moreira,18,LW,€2.00m,Benfica B,Chelsea FC,free transfer,23-24,summer,0,0,0,0,0,0,0,0,10,3.7
90,K. Havertz,24,AM,€60.00m,Chelsea FC,Arsenal,€75.00m,23-24,summer,0,0,0,0,0,0,20,24,50,92.0
91,M. Mount,24,AM,€40.00m,Chelsea FC,Man Utd,€64.20m,23-24,summer,0,0,0,0,0,0,21,22,41,84.0
92,M. Kovacic,29,CM,€30.00m,Chelsea FC,Man City,€29.10m,23-24,summer,0,0,0,6,5,6,0,0,0,94.44
93,K. Koulibaly,32,CB,€11.00m,Chelsea FC,Al-Hilal,€23.00m,23-24,summer,0,0,0,4,3,3,0,0,0,55.56
94,C. Pulisic,24,RW,€32.00m,Chelsea FC,AC Milan,€20.00m,23-24,summer,0,0,0,0,0,0,23,20,44,86.22
95,R. Loftus-Cheek,27,CM,€25.00m,Chelsea FC,AC Milan,€18.50m,23-24,summer,0,0,0,4,6,4,0,0,0,77.78
96,E. Mendy,31,GK,€10.00m,Chelsea FC,Al-Ahli,€18.50m,23-24,summer,21,82,5,0,0,0,0,0,0,62.44
97,E. Ampadu,22,DM,€16.00m,Chelsea FC,Leeds,€8.10m,23-24,summer,0,0,0,5,5,5,0,0,0,83.33
98,C. Hudson-Odoi,22,LW,€15.00m,Chelsea FC,Nottm Forest,€3.50m,23-24,summer,0,0,0,0,0,0,15,16,38,65.78
99,A. Baba,29,LB,€1.50m,Chelsea FC,PAOK Salonika,free transfer,23-24,summer,0,0,0,1,0,0,0,0,0,5.56
100,P. Aubameyang,34,CF,€4.00m,Chelsea FC,Marseille,free transfer,23-24,summer,0,0,0,0,0,0,6,5,14,21.33
101,C. Azpilicueta,33,RB,€3.00m,Chelsea FC,Atlético Madrid,free transfer,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
102,T. Bakayoko,29,DM,€2.00m,Chelsea FC,FC Lorient,free transfer,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
103,N. Kanté,32,DM,€10.00m,Chelsea FC,Al-Ittihad,free transfer,23-24,summer,0,0,0,5,3,4,0,0,0,66.67
104,Matheus França,19,AM,€9.00m,Flamengo,Crystal Palace,€20.00m,23-24,summer,0,0,0,0,0,0,20,15,39,71.85
105,D. Henderson,26,GK,€18.00m,Man Utd,Crystal Palace,€17.50m,23-24,summer,22,93,1,0,0,0,0,0,0,61.0
106,R. Holding,27,CB,€8.00m,Arsenal,Crystal Palace,€1.20m,23-24,summer,0,0,0,5,3,5,0,0,0,72.22
107,J. Lerma,28,DM,€20.00m,Bournemouth,Crystal Palace,free transfer,23-24,summer,0,0,0,5,4,4,0,0,0,72.22
108,L. Milivojevic,32,DM,€1.50m,Crystal Palace,Shabab Al-Ahli,free transfer,23-24,summer,0,0,0,1,1,1,0,0,0,16.67
109,J. Butland,30,GK,€3.00m,Crystal Palace,Rangers,free transfer,23-24,summer,1,40,15,0,0,0,0,0,0,34.67
110,W. Zaha,30,LW,€14.00m,Crystal Palace,Galatasaray,free transfer,23-24,summer,0,0,0,0,0,0,15,17,39,67.85
111,V. Guaita,36,GK,€900k,Crystal Palace,Celta de Vigo,free transfer,23-24,summer,3,43,9,0,0,0,0,0,0,25.67
112,J. McArthur,35,CM,€2.20m,Crystal Palace,Retired,-,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
113,Beto,25,CF,€25.00m,Udinese Calcio,Everton FC,€25.00m,23-24,summer,0,0,0,0,0,0,25,24,41,92.0
114,Chermiti,19,CF,€3.00m,Sporting CP,Everton FC,€12.50m,23-24,summer,0,0,0,0,0,0,1,5,5,8.0
115,A. Young,38,LB,€600k,Aston Villa,Everton FC,free transfer,23-24,summer,0,0,0,0,0,1,0,0,0,5.56
116,M. Kean,23,CF,€18.00m,Everton FC,Juventus,€30.00m,23-24,summer,0,0,0,0,0,0,21,23,44,87.56
117,A. Iwobi,27,AM,€28.00m,Everton FC,Fulham,€25.70m,23-24,summer,0,0,0,0,0,0,23,22,49,92.59
118,D. Gray,27,LW,€10.00m,Everton FC,Al-Ettifaq,€9.30m,23-24,summer,0,0,0,0,0,0,16,17,33,64.74
119,T. Cannon,20,CF,€4.00m,Everton FC,Leicester,€8.80m,23-24,summer,0,0,0,0,0,0,8,6,19,29.04
120,E. Simms,22,CF,€7.00m,Everton FC,Coventry,€7.00m,23-24,summer,0,0,0,0,0,0,11,13,30,50.52
121,N. Nkounkou,22,LB,€7.50m,Everton FC,Saint-Étienne,€2.00m,23-24,summer,0,0,0,2,3,2,0,0,0,38.89
122,T. Davies,25,CM,€6.00m,Everton FC,Sheff Utd,free transfer,23-24,summer,0,0,0,3,4,4,0,0,0,61.11
123,A. Begovic,36,GK,€300k,Everton FC,QPR,free transfer,23-24,summer,16,75,5,0,0,0,0,0,0,51.89
124,Y. Mina,28,CB,€3.00m,Everton FC,Fiorentina,free transfer,23-24,summer,0,0,0,0,1,0,0,0,0,5.56
125,A. Townsend,31,RW,€1.80m,Everton FC,Without Club,-,23-24,summer,0,0,0,0,0,0,2,2,6,6.07
126,J. Gbamin,27,DM,€2.50m,Everton FC,Without Club,-,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
127,A. Iwobi,27,AM,€28.00m,Everton,Fulham FC,€25.70m,23-24,summer,0,0,0,0,0,0,22,21,44,86.22
128,C. Bassey,23,CB,€15.00m,Ajax,Fulham FC,€22.50m,23-24,summer,0,0,0,5,4,4,0,0,0,72.22
129,T. Castagne,27,RB,€25.00m,Leicester,Fulham FC,€13.00m,23-24,summer,0,0,0,5,6,4,0,0,0,83.33
130,R. Jiménez,32,CF,€6.00m,Wolves,Fulham FC,€6.40m,23-24,summer,0,0,0,0,0,0,13,14,24,50.07
131,S. Benda,24,GK,€400k,Swansea,Fulham FC,€870k,23-24,summer,15,72,6,0,0,0,0,0,0,51.11
132,A. Traoré,27,RW,€10.00m,Wolves,Fulham FC,free transfer,23-24,summer,0,0,0,0,0,0,16,19,39,71.85
133,A. Mitrovic,28,CF,€28.00m,Fulham FC,Al-Hilal,€52.60m,23-24,summer,0,0,0,0,0,0,22,22,45,88.3
134,S. Sessegnon,23,RB,€500k,Fulham FC,Wigan,free transfer,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
135,I. Cavaleiro,29,LW,€2.50m,Fulham FC,LOSC Lille,free transfer,23-24,summer,0,0,0,0,0,0,1,5,9,10.96
136,A. Knockaert,31,RW,€450k,Fulham FC,Valenciennes FC,free transfer,23-24,summer,0,0,0,0,0,0,3,5,5,10.67
137,S. Duffy,31,CB,€1.00m,Fulham FC,Norwich,free transfer,23-24,summer,0,0,0,0,0,0,0,0,0,0.0
138,Joe Bryan,29,LB,€1.20m,Fulham FC,Millwall,free transfer,23-24,summer,0,0,0,0,0,0,0,0,0,0.0
139,N. Kebano,31,LW,€1.50m,Fulham FC,Al-Jazira,free transfer,23-24,summer,0,0,0,0,0,0,5,1,9,10.96
140,P. Gazzaniga,31,GK,€4.00m,Fulham FC,Girona,free transfer,23-24,summer,0,41,11,0,0,0,0,0,0,25.0
141,D. Szoboszlai,22,CM,€50.00m,RB Leipzig,Liverpool FC,€70.00m,23-24,summer,0,0,0,4,4,5,0,0,0,72.22
142,A. Mac Allister,24,CM,€65.00m,Brighton,Liverpool FC,€42.00m,23-24,summer,0,0,0,4,6,6,0,0,0,88.89
143,R. Gravenberch,21,CM,€30.00m,Bayern Munich,Liverpool FC,€40.00m,23-24,summer,0,0,0,6,6,6,0,0,0,100.0
144,W. Endo,30,DM,€6.50m,VfB Stuttgart,Liverpool FC,€20.00m,23-24,summer,0,0,0,4,3,4,0,0,0,61.11
145,Fabinho,29,DM,€35.00m,Liverpool FC,Al-Ittihad,€46.70m,23-24,summer,0,0,0,5,6,6,0,0,0,94.44
146,J. Henderson,33,CM,€6.00m,Liverpool FC,Al-Ettifaq,€14.00m,23-24,summer,0,0,0,3,4,2,0,0,0,50.0
147,J. Milner,37,CM,€1.00m,Liverpool FC,Brighton,free transfer,23-24,summer,0,0,0,0,1,0,0,0,0,5.56
148,A. Oxlade-Chamberlain,29,CM,€5.00m,Liverpool FC,Besiktas,free transfer,23-24,summer,0,0,0,3,2,3,0,0,0,44.44
149,N. Keïta,28,CM,€4.00m,Liverpool FC,Werder Bremen,free transfer,23-24,summer,0,0,0,2,1,1,0,0,0,22.22
150,Roberto Firmino,31,CF,€10.00m,Liverpool FC,Al-Ahli,free transfer,23-24,summer,0,0,0,0,0,0,16,20,32,68.0
151,R. Giles,23,LB,€9.00m,Wolves,Luton Town,€5.85m,23-24,summer,0,0,0,4,4,5,0,0,0,72.22
152,T. Chong,23,RW,€3.20m,Birmingham,Luton Town,€4.70m,23-24,summer,0,0,0,0,0,0,1,4,6,7.41
153,M. Andersen,25,CB,€2.00m,Barnsley FC,Luton Town,€3.50m,23-24,summer,0,0,0,1,0,0,0,0,0,5.56
154,J. Brown,25,CF,€6.00m,Stoke City,Luton Town,€2.90m,23-24,summer,0,0,0,0,0,0,15,15,30,58.52
155,M. Nakamba,29,DM,€4.00m,Aston Villa,Luton Town,€2.90m,23-24,summer,0,0,0,3,3,3,0,0,0,50.0
156,T. Kaminski,30,GK,€2.20m,Blackburn,Luton Town,€2.90m,23-24,summer,2,48,12,0,0,0,0,0,0,33.78
157,C. Ogbene,26,RW,€2.00m,Rotherham,Luton Town,free transfer,23-24,summer,0,0,0,0,0,0,4,0,6,6.07
158,R. Barkley,29,CM,€6.00m,OGC Nice,Luton Town,free transfer,23-24,summer,0,0,0,4,2,3,0,0,0,50.0
159,Tim Krul,35,GK,€600k,Norwich,Luton Town,?,23-24,summer,15,70,5,0,0,0,0,0,0,47.78
160,T. Mengi,21,CB,€2.00m,Man Utd,Luton Town,?,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
161,A. Townsend,32,RW,€1.50m,Without Club,Luton Town,-,23-24,summer,0,0,0,0,0,0,4,3,7,10.81
162,C. Mendes,24,RW,€300k,Luton Town,Bolton,€300k,23-24,summer,0,0,0,0,0,0,2,0,6,3.41
163,S. Bradley,31,CB,€350k,Luton Town,Derby,free transfer,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
164,H. Isted,26,GK,€300k,Luton Town,Charlton,free transfer,23-24,summer,16,78,3,0,0,0,0,0,0,49.11
165,L. Freeman,31,AM,€2.20m,Luton Town,Without Club,-,23-24,summer,0,0,0,0,0,0,1,3,9,8.3
166,H. Lansbury,32,CM,€2.20m,Luton Town,Retired,-,23-24,summer,0,0,0,1,1,1,0,0,0,16.67
167,Glen Rea,28,DM,€2.20m,Luton Town,Without Club,-,23-24,summer,0,0,0,1,1,1,0,0,0,16.67
168,M. Macey,28,GK,€350k,Luton Town,Without Club,-,23-24,summer,16,72,4,0,0,0,0,0,0,48.0
169,J. Gvardiol,21,LB,€75.00m,RB Leipzig,Manchester City,€90.00m,23-24,summer,0,0,0,4,5,6,0,0,0,83.33
170,M. Nunes,25,CM,€45.00m,Wolves,Manchester City,€62.00m,23-24,summer,0,0,0,4,5,5,0,0,0,77.78
171,J. Doku,21,LW,€28.00m,Stade Rennais,Manchester City,€60.00m,23-24,summer,0,0,0,0,0,0,24,22,40,87.26
172,M. Kovacic,29,CM,€38.00m,Chelsea,Manchester City,€29.10m,23-24,summer,0,0,0,6,4,5,0,0,0,83.33
173,C. Palmer,21,AM,€55.00m,Manchester City,Chelsea,€47.00m,23-24,summer,0,0,0,0,0,0,25,25,47,97.78
174,R. Mahrez,32,RW,€16.00m,Manchester City,Al-Ahli,€35.00m,23-24,summer,0,0,0,0,0,0,22,24,42,88.74
175,A. Laporte,29,CB,€25.00m,Manchester City,Al-Nassr,€27.50m,23-24,summer,0,0,0,4,5,4,0,0,0,72.22
176,Y. Herrera,25,CM,€20.00m,Manchester City,Girona,€5.00m,23-24,summer,0,0,0,6,4,4,0,0,0,77.78
177,B. Mendy,29,LB,€2.00m,Manchester City,FC Lorient,free transfer,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
178,İ. Gündoğan,32,CM,€16.00m,Manchester City,Barcelona,free transfer,23-24,summer,0,0,0,6,6,6,0,0,0,100.0
179,N. Bustos,24,CF,€4.20m,Manchester City,CA Talleres,free transfer,23-24,summer,0,0,0,0,0,0,7,10,20,33.78
180,R. Højlund,20,CF,€45.00m,Atalanta BC,Manchester United,€73.90m,23-24,summer,0,0,0,0,0,0,21,22,47,88.44
181,M. Mount,24,AM,€60.00m,Chelsea,Manchester United,€64.20m,23-24,summer,0,0,0,0,0,0,25,23,47,95.11
182,A. Onana,27,GK,€35.00m,Inter,Manchester United,€50.20m,23-24,summer,25,98,5,0,0,0,0,0,0,76.67
183,A. Bayındır,25,GK,€11.00m,Fenerbahce,Manchester United,€5.00m,23-24,summer,24,91,1,0,0,0,0,0,0,62.56
184,J. Evans,35,CB,€2.00m,Leicester,Manchester United,free transfer,23-24,summer,0,0,0,1,0,0,0,0,0,5.56
185,D. Henderson,26,GK,€12.00m,Manchester United,Crystal Palace,€17.50m,23-24,summer,21,95,5,0,0,0,0,0,0,69.67
186,A. Elanga,21,LW,€22.00m,Manchester United,Nottm Forest,€17.50m,23-24,summer,0,0,0,0,0,0,20,22,48,87.85
187,Fred,30,CM,€19.00m,Manchester United,Fenerbahce,€9.74m,23-24,summer,0,0,0,4,6,5,0,0,0,83.33
188,M. Kovar,23,GK,€5.00m,Manchester United,B. Leverkusen,€5.00m,23-24,summer,5,40,12,0,0,0,0,0,0,33.33
189,A. Telles,30,LB,€7.00m,Manchester United,Al-Nassr,€4.60m,23-24,summer,0,0,0,4,4,3,0,0,0,61.11
190,Z. Iqbal,20,CM,€1.00m,Manchester United,FC Utrecht,€1.00m,23-24,summer,0,0,0,0,1,0,0,0,0,5.56
191,E. Bailly,29,CB,€3.50m,Manchester United,Besiktas,free transfer,23-24,summer,0,0,0,1,1,1,0,0,0,16.67
192,T. Mengi,21,CB,€12.00m,Manchester United,Luton,?,23-24,summer,0,0,0,3,3,4,0,0,0,55.56
193,A. Tuanzebe,25,CB,€2.20m,Manchester United,Without Club,-,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
194,P. Jones,31,CB,€2.20m,Manchester United,Without Club,-,23-24,summer,0,0,0,0,0,0,0,0,0,0.0
195,D. de Gea,32,GK,€5.00m,Manchester United,Without Club,-,23-24,summer,1,44,10,0,0,0,0,0,0,25.78
196,S. Tonali,23,DM,€50.00m,AC Milan,Newcastle United,€64.00m,23-24,summer,0,0,0,5,6,5,0,0,0,88.89
197,H. Barnes,25,LW,€35.00m,Leicester,Newcastle United,€44.00m,23-24,summer,0,0,0,0,0,0,25,21,40,87.26
198,T. Livramento,20,RB,€25.00m,Southampton,Newcastle United,€37.20m,23-24,summer,0,0,0,5,6,4,0,0,0,83.33
199,Y. Minteh,18,RW,€2.00m,Odense BK,Newcastle United,€8.00m,23-24,summer,0,0,0,0,0,0,0,4,10,9.04
200,A. Saint-Maximin,26,LW,€20.00m,Newcastle United,Al-Ahli,€27.20m,23-24,summer,0,0,0,0,0,0,20,24,44,87.56
201,C. Wood,31,CF,€7.00m,Newcastle United,Nottm Forest,€17.00m,23-24,summer,0,0,0,0,0,0,14,10,24,46.07
202,K. Darlow,32,GK,€300k,Newcastle United,Leeds,€400k,23-24,summer,16,75,5,0,0,0,0,0,0,51.89
